timestep,state,action,next_state,reward,done,number_of_pods,cpu_util,latency_violation,latency,hpa_threshold,info
222,143,2,846,0,False,1,89.81151994869003,1,2.290574898731488,100,
223,846,1,846,0,False,1,90.83380164096116,1,2.4315710604192082,100,
224,846,1,143,100,False,1,14.254405390791707,0,0.16648953527565702,100,
225,143,2,143,100,False,1,14.218788076807442,0,0.1779014929150338,100,
226,143,1,846,0,False,1,89.50389006901489,1,2.486753439342465,100,
227,846,1,846,0,False,1,87.83214637125886,1,2.4085179793129647,100,
228,846,0,107,100,False,1,14.23876971164662,0,0.14247754090781609,80,
229,107,1,108,100,False,1,14.8414428943221,0,0.17336036095527044,80,
230,108,0,431,75.40064741443629,False,3,46.62743825681314,0,0.21923401476073784,60,
231,431,2,643,0,False,2,62.76959389373193,1,0.4352766676479727,80,
232,643,0,73,100,False,1,13.920522803151492,0,0.1686984039542122,60,
233,73,0,38,100,False,1,14.191623301908956,0,0.15337071384815876,40,
234,38,2,432,0,False,3,45.139817054211186,1,0.27427780156247716,60,
235,432,2,643,0,False,2,66.11641933769108,1,0.4684365038495176,80,
236,643,2,143,100,False,1,14.34064428790784,0,0.16310020517507334,100,
237,143,1,143,100,False,1,14.29723702069591,0,0.1610815160255956,100,
238,143,1,846,0,False,1,96.4810941277233,1,2.4319083348893513,100,
239,846,2,846,0,False,1,89.69664639628851,1,2.43468203707978,100,
240,846,1,143,100,False,1,14.397223065440187,0,0.17476952691859415,100,
241,143,2,143,100,False,1,13.76163658967179,0,0.16649653201919457,100,
242,143,1,846,0,False,1,89.63434882359917,1,2.4825978799114767,100,
243,846,1,846,0,False,1,89.92503080277332,1,2.441780887051919,100,
244,846,1,143,100,False,1,14.337353229244531,0,0.17223520428324113,100,
245,143,0,108,100,False,1,15.00026991942268,0,0.15682407558546277,80,
246,108,2,846,0,False,1,93.61306202067979,1,2.408678633362285,100,
247,846,1,846,0,False,1,90.83018411701417,1,2.38116081836506,100,
248,846,0,108,100,False,1,14.328274189289335,0,0.17057415716467805,80,
249,108,1,108,100,False,1,14.936807064229042,0,0.16915927733896693,80,
250,108,1,643,0,False,2,65.05177341521791,1,0.3848904392754535,80,
251,643,2,846,0,False,1,91.76403248993255,1,2.3903523086470795,100,
252,846,0,108,100,False,1,14.758214491828959,0,0.1729771965274215,80,
253,108,0,73,100,False,1,14.133318493365675,0,0.16925565187557964,60,
254,73,2,643,0,False,2,65.98741472481058,1,0.4856824619565816,80,
255,643,1,642,0,False,2,63.53296765527531,1,0.3660755480953391,80,
256,642,0,73,100,False,1,14.019271935046344,0,0.15043191624968155,60,
257,73,2,108,100,False,1,14.601588551152703,0,0.1547071659154086,80,
258,108,1,643,0,False,2,69.24011110224042,1,0.5321375315822956,80,
259,643,1,642,0,False,2,63.604071238010725,1,0.32046435021201586,80,
260,642,1,108,100,False,1,14.393992336748221,0,0.15959668583470937,80,
261,108,2,143,100,False,1,15.16689838019447,0,0.17462340222277212,100,
262,143,2,846,0,False,1,90.60886909429307,1,2.325079756734052,100,
263,846,0,643,0,False,2,65.11453327565886,1,0.4321700309190546,80,
264,643,2,143,100,False,1,13.681536530974263,0,0.17824848902916665,100,
265,143,1,143,100,False,1,14.262086015660365,0,0.1644404707633924,100,
266,143,2,846,0,False,1,92.15256745606524,1,2.519339521803826,100,
267,846,0,643,0,False,2,66.6338811868844,1,0.4995342258263198,80,
268,643,2,143,100,False,1,13.818167438792512,0,0.1720118710207335,100,
269,143,2,143,100,False,1,13.523418561318483,0,0.17781303146342659,100,
270,143,0,642,0,False,2,65.8952948324394,1,0.33887204759803763,80,
271,642,1,642,0,False,2,66.44313865493386,1,0.35255261281936046,80,
272,642,1,108,100,False,1,13.703818038538508,0,0.1734925402652563,80,
273,108,2,143,100,False,1,14.56507684735773,0,0.1717403461807533,100,
274,143,1,846,0,False,1,87.49366923608608,1,2.50155964629331,100,
275,846,1,846,0,False,1,92.59165918243853,1,2.363509639653901,100,
276,846,0,108,100,False,1,14.753982245697905,0,0.15946509803637332,80,
277,108,0,73,100,False,1,14.904390292454405,0,0.18051531361973014,60,
278,73,2,643,0,False,2,63.92432400851967,1,0.5252142199923522,80,
279,643,1,643,0,False,2,68.28105407247857,1,0.3746500519851261,80,
280,643,2,143,100,False,1,14.12350552066584,0,0.1662583368987953,100,
281,143,2,143,100,False,1,15.08886612308113,0,0.17935094802279597,100,
282,143,2,846,0,False,1,91.83762534947893,1,2.49121047775088,100,
283,846,0,643,0,False,2,63.390553661805264,1,0.44017762163532437,80,
284,643,2,143,100,False,1,13.553016525357886,0,0.16508254819731327,100,
285,143,1,143,100,False,1,14.557633321935217,0,0.15431487287647702,100,
286,143,1,846,0,False,1,93.97417708504744,1,2.4816278633049547,100,
287,846,1,846,0,False,1,90.10044839265147,1,2.336050138612863,100,
288,846,0,108,100,False,1,14.212978475703716,0,0.16473252188183662,80,
289,108,1,108,100,False,1,14.5215768661121,0,0.1727766026546466,80,
290,108,0,432,0,False,3,43.44509373272551,1,0.26282830354952924,60,
291,432,0,228,61.51038493311689,False,4,34.75639973476563,0,0.22555757242885993,40,
292,228,1,38,100,False,1,14.181898798378814,0,0.17773315455678215,40,
293,38,0,3,100,False,1,14.088504303479064,0,0.17672947648266024,20,
294,3,0,24,79.44525443767466,False,7,18.92359911211864,0,0.1817922797799436,20,
295,24,0,24,79.77516801188985,False,7,18.71461931462332,0,0.18842226504537754,20,
296,24,2,38,100,False,1,13.946218362653465,0,0.17448579634171943,40,
297,38,2,73,100,False,1,13.903139383323985,0,0.16877766618293805,60,
298,73,0,228,51.19592667618662,False,4,34.552471734829226,0,0.23178458177732228,40,
299,228,0,24,79.75321492552726,False,7,19.1217384170585,0,0.187869236270542,20,
300,24,2,38,100,False,1,14.732935109882394,0,0.18550980440790055,40,
301,38,1,38,100,False,1,13.711192619762643,0,0.16564021940540052,40,
302,38,0,24,79.60643882464831,False,7,19.022046292483598,0,0.18467278137382867,20,
303,24,0,24,79.69343969763057,False,7,18.907848573038137,0,0.1864767935603167,20,
304,24,0,3,100,False,1,14.362449884513172,0,0.16191180218381465,20,
305,3,1,3,100,False,1,14.343257938223799,0,0.16587615326754845,20,
306,3,1,24,79.65528463843177,False,7,19.143531557590304,0,0.1856579428252693,20,
307,24,2,228,43.476979819932964,False,4,34.84321057555302,0,0.23695393894995995,40,
308,228,0,3,100,False,1,13.56277567994746,0,0.16179533420556802,20,
309,3,0,3,100,False,1,14.53801842377176,0,0.16249850761990522,20,
310,3,0,24,79.76872334037824,False,7,18.872949206661254,0,0.18825723204370878,20,
311,24,2,227,89.91786110676183,False,4,32.59309749907613,0,0.19300565184020818,40,
312,227,1,38,100,False,1,14.331657366533287,0,0.17679291406089132,40,
313,38,2,73,100,False,1,14.267717111811017,0,0.17293815666215773,60,
314,73,0,227,89.8731155135251,False,4,33.89158937773951,0,0.19130546068700316,40,
315,227,0,24,79.71159888471846,False,7,19.009843414702612,0,0.18688428648800823,20,
316,24,0,3,100,False,1,15.12852169190369,0,0.15740082667088817,20,
317,3,0,3,100,False,1,14.776160991112178,0,0.17327810367129481,20,
318,3,1,24,79.7416133331616,False,7,18.757711781306913,0,0.18758685587731316,20,
319,24,0,24,79.58829042177972,False,7,19.00174330634328,0,0.1843223488027754,20,
320,24,0,3,100,False,1,14.240990517282176,0,0.16211862176170072,20,
321,3,2,38,100,False,1,13.79595853413666,0,0.16333502873515832,40,
322,38,2,431,93.21049860979423,False,3,44.592751746420525,0,0.20148168957523238,60,
323,431,0,228,41.263152773304455,False,4,32.11591562921657,0,0.23859273869710018,40,
324,228,0,3,100,False,1,13.434152671343341,0,0.17848276270139596,20,
325,3,0,3,100,False,1,13.973897644312602,0,0.16486640045666948,20,
326,3,2,229,0,False,4,33.181329835100264,1,0.25516075054516413,40,
327,229,0,24,79.77931465226631,False,7,19.21268901378783,0,0.18852969796859476,20,
328,24,1,3,100,False,1,14.135649695543028,0,0.1843371683306626,20,
329,3,0,3,100,False,1,13.927677153564082,0,0.1771341487884975,20,
330,3,2,227,89.46162315981653,False,4,33.73384180030087,0,0.18206397161716295,40,
331,227,1,228,65.5441347533592,False,4,32.85758239935558,0,0.2231790150689658,40,
332,228,2,73,100,False,1,14.327919864455986,0,0.15973892595850242,60,
333,73,0,38,100,False,1,13.616988867748756,0,0.16750663458850124,40,
334,38,1,228,71.09618802551941,False,4,33.7115722915734,0,0.2198363727136769,40,
335,228,1,229,0,False,4,32.72681718972112,1,0.26366727732962975,40,
336,229,2,73,100,False,1,13.54006587224536,0,0.1862036860680218,60,
337,73,1,73,100,False,1,13.723627845614544,0,0.16080215934918501,60,
338,73,2,643,0,False,2,65.59427643453013,1,0.4813594640049463,80,
339,643,2,846,0,False,1,92.63828386239898,1,2.442659578790301,100,
340,846,1,143,100,False,1,14.418595212123485,0,0.16725630459297336,100,
341,143,0,108,100,False,1,14.39364341585625,0,0.18079496639916762,80,
342,108,0,431,69.31395202831634,False,3,46.084253581948744,0,0.22292038576964823,60,
343,431,1,431,42.80719961074607,False,3,45.11327373982742,0,0.23999096563976327,60,
344,431,2,108,100,False,1,14.901228825603777,0,0.169233404360375,80,
345,108,1,108,100,False,1,14.032273176311211,0,0.15518023906898906,80,
346,108,0,431,56.1063979253874,False,3,44.53201430081253,0,0.23079951837065923,60,
347,431,2,642,0,False,2,62.439391364830506,1,0.2897580908490686,80,
348,642,2,143,100,False,1,13.987803854469645,0,0.16333629463861457,100,
349,143,2,143,100,False,1,13.932056693875795,0,0.16952937565534051,100,
350,143,1,846,0,False,1,95.52328764081186,1,2.4926125245063497,100,
